#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:32 out:33 type:b dur:2 cpbdur:2 q:56.74 aq:54.44 tex:2605 mv:6708 misc:2823 imb:181 pmb:615 smb:7364 d:- ref:0 ;
in:35 out:34 type:P dur:2 cpbdur:2 q:53.85 aq:47.00 tex:19495 mv:16591 misc:5570 imb:2281 pmb:546 smb:5333 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:55.24 aq:51.12 tex:2504 mv:6108 misc:2748 imb:166 pmb:577 smb:7417 d:- ref:0 ;
in:37 out:36 type:P dur:2 cpbdur:2 q:53.62 aq:45.34 tex:20379 mv:19106 misc:5843 imb:2498 pmb:658 smb:5004 d:- ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:53.73 aq:47.50 tex:5699 mv:11851 misc:3746 imb:464 pmb:780 smb:6916 d:- ref:0 ;
in:39 out:38 type:P dur:2 cpbdur:2 q:52.78 aq:45.32 tex:23600 mv:21887 misc:6065 imb:2943 pmb:729 smb:4488 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:53.20 aq:49.09 tex:3226 mv:10227 misc:3387 imb:301 pmb:740 smb:7119 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:52.10 aq:43.50 tex:38601 mv:30792 misc:3647 imb:5968 pmb:657 smb:1535 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:52.44 aq:43.96 tex:7592 mv:16269 misc:4763 imb:640 pmb:959 smb:6561 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:52.61 aq:46.33 tex:2735 mv:9275 misc:3350 imb:245 pmb:722 smb:7193 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:52.27 aq:47.21 tex:2639 mv:9354 misc:3239 imb:189 pmb:790 smb:7181 d:- ref:0 ;
in:45 out:44 type:P dur:2 cpbdur:2 q:51.64 aq:42.21 tex:24310 mv:24016 misc:6122 imb:2674 pmb:933 smb:4553 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:51.87 aq:48.31 tex:3267 mv:9324 misc:3025 imb:234 pmb:742 smb:7184 d:- ref:0 ;
in:48 out:46 type:P dur:2 cpbdur:2 q:51.23 aq:42.78 tex:36954 mv:25886 misc:4352 imb:4791 pmb:540 smb:2829 d:- ref:0 ;
in:46 out:47 type:B dur:2 cpbdur:2 q:51.50 aq:44.76 tex:6642 mv:13183 misc:4191 imb:357 pmb:1005 smb:6798 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:51.37 aq:45.64 tex:6094 mv:11024 misc:3386 imb:295 pmb:841 smb:7024 d:- ref:0 ;
in:49 out:49 type:I dur:2 cpbdur:2 q:50.68 aq:41.11 tex:56340 mv:32666 misc:674 imb:8160 pmb:0 smb:0 d:- ref:;
in:53 out:50 type:P dur:2 cpbdur:2 q:52.52 aq:43.58 tex:53578 mv:25999 misc:2623 imb:5889 pmb:409 smb:1862 d:- ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:52.52 aq:46.12 tex:10142 mv:16832 misc:4626 imb:765 pmb:944 smb:6451 d:- ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:52.52 aq:45.28 tex:2830 mv:8104 misc:2938 imb:247 pmb:654 smb:7259 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:52.52 aq:46.34 tex:3290 mv:8763 misc:3219 imb:195 pmb:776 smb:7189 d:- ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:53.38 aq:46.52 tex:27375 mv:17893 misc:4900 imb:2405 pmb:678 smb:5077 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:52.95 aq:46.69 tex:2226 mv:7833 misc:3037 imb:179 pmb:629 smb:7352 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:53.80 aq:46.32 tex:11598 mv:12744 misc:4594 imb:979 pmb:726 smb:6455 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:53.81 aq:45.53 tex:19269 mv:16530 misc:5481 imb:1470 pmb:953 smb:5737 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:54.08 aq:47.15 tex:10672 mv:13248 misc:5104 imb:1121 pmb:767 smb:6272 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:54.02 aq:47.21 tex:15903 mv:15509 misc:5396 imb:1411 pmb:881 smb:5868 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:54.25 aq:48.40 tex:23032 mv:16453 misc:4851 imb:1844 pmb:835 smb:5481 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:54.28 aq:48.17 tex:40892 mv:18046 misc:4550 imb:2266 pmb:804 smb:5090 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:54.55 aq:48.87 tex:37854 mv:19089 misc:4169 imb:2442 pmb:855 smb:4863 d:- ref:0 ;
